"","Date","Placement","LP Tier","Tournament","Results..6","Prize","Names","TotalPrize"
"1",2014-11-01,"A55 - 8th","A2Major","MSI Beat IT 2014","0/-/2",0,"GH",0
"2",2015-06-28,"A11st","A6Weekly","The Impress Dad Indy 500","2 : 0",500,"GH",500
"3",2015-07-20,"A11st","A6Weekly","The Impress Dad Andy 500 #3","2 : 1",500,"GH",1000
"4",2015-09-23,"A33 - 4th","A3Minor","PGL Dota 2 Pro-AM Qualifier #1","0 : 2",500,"GH",1500
"5",2015-11-11,"A22nd","A5Monthly","paysafecard Go4Dota 2 October Finals","0 : 2",161,"GH",1661
"6",2016-01-19,"A33 - 4th","A7Qualifier","ProDotA Cup EU #2 Open Qualifier","0 : 2",0,"GH",1661
"7",2016-04-12,"B313 - 16th","A3Minor","ProDotA Cup Europe #5","0 : 1",0,"GH",1661
"8",2016-06-24,"A22nd","A7Qualifier","The International 2016: European Open Qualifier #2","0 : 2",0,"GH",1661
"9",2016-07-11,"A99 - 12th","A3Minor","ProDotA Cup Europe #8","0 : 1",0,"GH",1661
"10",2016-07-12,"A11st","A7Qualifier","WellPlay Invitational #3: Closed Qualifier","2 : 0",0,"GH",1661
"11",2016-07-18,"A77 - 8th","A3Minor","WellPlay Invitational #3","0 : 2",0,"GH",1661
"12",2016-08-23,"A33rd","A7Qualifier","WellPlay Invitational #4: Closed Qualifier","0 : 2",0,"GH",1661
"13",2016-08-25,"A55 - 6th","A3Minor","ProDotA Cup Europe #9","0 : 1",0,"GH",1661
"14",2016-08-30,"A77 - 8th","A7Qualifier","Elements Cup #2 Closed Qualifier","1/-/3",0,"GH",1661
"15",2016-09-19,"A11st","A3Minor","joinDOTA League Season 10 Europe","3 : 0",2000,"GH",3661
"16",2016-10-17,"A55 - 8th","A3Minor","StarLadder ProSeries Season 16","0 : 2",0,"GH",3661
"17",2016-11-05,"A55 - 6th","A3Minor","Elimination Mode 2.0","0 : 2",0,"GH",3661
"18",2016-11-05,"A55 - 8th","A7Qualifier","ESL One Genting 2017 European Qualifier","0 : 2",0,"GH",3661
"19",2016-11-08,"A44th","A2Major","DreamLeague Season 6 League Play","8/-/6",8000,"GH",11661
"20",2016-11-26,"A11st","A2Major","DreamLeague Season 6","3 : 0",90000,"GH",101661
"21",2016-12-20,"A33 - 4th","A3Minor","WellPlay Invitational #6","1 : 2",0,"GH",101661
"22",2017-02-02,"A11st","A7Qualifier","StarLadder i-League StarSeries Season 3 European Qualifier","4/3/0",0,"GH",101661
"23",2017-02-10,"A11st","A7Qualifier","Dota 2 Asia Championships 2017 Europe Qualifier","2 : 0",0,"GH",101661
"24",2017-02-26,"A11st","A1Premier","StarLadder i-League StarSeries Season 3","3 : 1",135000,"GH",236661
"25",2017-04-01,"A99 - 12th","A1Premier","Dota 2 Asia Championships 2017","0 : 1",9179,"GH",245840
"26",2017-04-29,"A55 - 8th","A1Premier","The Kiev Major 2017","1 : 2",125000,"GH",370840
"27",2017-05-21,"A22nd","A2Major","DreamLeague Season 7 EU Division","9/-/5",9000,"GH",379840
"28",2017-05-21,"A11st","A1Premier","StarLadder i-League Invitational Season 2","3 : 2",45000,"GH",424840
"29",2017-06-11,"A11st","A1Premier","EPICENTER 2017","3 : 1",250000,"GH",674840
"30",2017-07-22,"A11st","A2Major","DreamLeague Season 7","3 : 2",80000,"GH",754840
"31",2017-08-12,"A11st","A1Premier","The International 2017","3 : 0",10862683,"GH",11617523
"32",2017-09-30,"B010th","A5Monthly","FACEIT Pro League - Europe: September 2017","",1000,"GH",11618523
"33",2017-10-07,"A22nd","A3Minor","World Cyber Arena 2017 MENA Qualifier","1 : 3",14425,"GH",11632948
"34",2017-10-15,"A11st","A2Major","StarLadder i-League Invitational Season 3","3 : 1",135000,"GH",11767948
"35",2017-10-29,"A33 - 4th","A1Premier","ESL One Hamburg 2017","1 : 2",90000,"GH",11857948
"36",2017-11-05,"A11st","A2Major","AMD SAPPHIRE Dota PIT League","3 : 2",125000,"GH",11982948
"37",2017-11-16,"A33rd","A7Qualifier","DreamLeague Season 8 Europe & CIS Qualifier","3/4/0",0,"GH",11982948
"38",2017-12-03,"A22nd","A1Premier","DreamLeague Season 8","0 : 3",2e+05,"GH",12182948
"39",2018-01-28,"A22nd","A2Major","ESL One Genting 2018","2 : 3",80000,"GH",12262948
"40",2018-02-04,"A11st","A2Major","StarLadder i-League Invitational Season 4","3 : 1",135000,"GH",12397948
"41",2018-02-25,"A33rd","A1Premier","ESL One Katowice 2018","2 : 1",120000,"GH",12517948
"42",2018-03-11,"A33 - 4th","A1Premier","The Bucharest Major","1 : 2",90000,"GH",12607948
"43",2018-03-24,"A33rd","A2Major","DreamLeague Season 9","0 : 2",30000,"GH",12637948
"44",2018-04-06,"A55 - 6th","A1Premier","Dota 2 Asia Championships 2018","0 : 1",67500,"GH",12705448
"45",2018-05-06,"A22nd","A1Premier","EPICENTER XL","1 : 3",2e+05,"GH",12905448
"46",2018-05-27,"A77 - 9th","A1Premier","ESL One Birmingham 2018","1 : 2",16000,"GH",12921448
"47",2018-06-10,"A11st","A1Premier","China Dota2 Supermajor","3 : 2",555000,"GH",13476448
"48",2018-08-24,"A44th","A1Premier","The International 2018","0 : 2",1787252,"GH",15263700
"49",2018-09-20,"A55 - 6th","A7Qualifier","The Kuala Lumpur Major Europe Qualifier","1 : 2",0,"GH",15263700
"50",2018-09-26,"A22nd","A7Qualifier","DreamLeague Season 10 Europe Qualifier","2 : 0",0,"GH",15263700
