"","ID","Name","Team","champion","runnerup","secondrunnerup","Premier","Earnings","numoftop3"
"1","GH","Maroun Merhej","Team Liquid",15,7,2,5,3124576,24
"2","JerAx","Jesse Vainikka","OG",12,10,6,4,3323042,28
"3","KuroKy","Kuro Salehi Takhasomi","Team Liquid",37,14,11,21,4168314,62
"4","MATUMBAMAN","Lasse Aukusti Urpalainen","Team Liquid",21,14,4,6,3506036,39
"5","MinD_ContRoL","Ivan Borislavov Ivanov","Team Liquid",23,10,4,6,3519295,37
"6","Miracle-","Amer Al-Barkawi","Team Liquid",19,7,4,8,3731424,30
"7","N0tail","Johan Sundstein","OG",21,16,13,9,3743308,50
"8","ppd","Peter Dager","Ninjas in Pyjamas",18,13,7,9,2891201,38
"9","SumaiL","Syed Sumail Hassan","Evil Geniuses",11,10,10,7,3313043,31
"10","UNiVeRsE","Saahil Arora","",20,20,9,12,3042820,49
